,School-age SNAP participants (from FNS-834),NSLP direct certifications based on SNAP participation,SNAP-participant students in CEP or special provision schools in a non-base year (from FNS-834)
U.S. Total,"14,540","8,230","5,174"
Alabama,285,168,109
Alaska,29,18,9
Arizona,358,202,81
Arkansas,139,118,17
California,"1,613",927,268
Colorado,177,143,20
Connecticut,96,57,52
Delaware,52,25,28
District Of Columbia,34,42,9
Florida,"1,030",674,310
Georgia,614,299,323
Guam,17,4,9
Hawaii,53,36,13
Idaho,65,49,14
Illinois,626,237,326
Indiana,274,178,78
Iowa,127,94,34
Kansas,91,79,12
Kentucky,210,51,162
Louisiana,317,116,257
Maine,53,37,18
Maryland,226,148,57
Massachusetts,199,127,135
Michigan,414,213,154
Minnesota,158,133,30
Mississippi,203,96,92
Missouri,266,179,73
Montana,38,24,11
Nebraska,64,68,3
Nevada,139,95,42
New Hampshire,29,26,0
New Jersey,286,201,74
New Mexico,158,55,99
New York,832,386,310
North Carolina,501,308,190
North Dakota,18,14,3
Ohio,522,251,210
Oklahoma,218,139,34
Oregon,219,103,62
Pennsylvania,537,234,230
Rhode Island,44,31,6
South Carolina,269,166,109
South Dakota,34,23,12
Tennessee,314,132,248
Texas,"1,561",897,524
Utah,90,67,4
Vermont,20,12,6
Virginia,287,193,68
Washington,266,214,44
West Virginia,115,26,77
Wisconsin,241,143,95
Wyoming,13,11,1
