NCES_ID,metro,metroname,name,SD6870,city,zip,county,stateab,G1_READ_D,NREAD1_D,G2_READ_D,NREAD2_D,G4_READ_D,NREAD4_D,G8_READ_D,NREAD8_D,G9_READ_D,NREAD9_D,G10_READ_D,NREAD10_D,G12_READ_D,NREAD12_D,GHS_READ_D,NHSREAD_D,G1_MATH_D,NMATH1_D,G2_MATH_D,NMATH2_D,G4_MATH_D,NMATH4_D,G8_MATH_D,NMATH8_D,G9_MATH_D,NMATH9_D,G10_MATH_D,NMATH10_D,G12_MATH_D,NMATH12_D,GHS_MATH_D,NMATHHS_D,G3_READ_D,NREAD3_D,G3_MATH_D,NMATH3_D,G5_READ_D,NREAD5_D,G5_MATH_D,NMATH5_D,G6_READ_D,NREAD6_D,G6_MATH_D,NMATH6_D,G7_READ_D,NREAD7_D,G7_MATH_D,NMATH7_D,G11_READ_D,NREAD11_D,G11_MATH_D,NMATH11_D
100005, , , , , , , , , , , , ,327,54,246,79, , , , ,188,43, , , , , , ,327,62, , , , , , ,188,79, , , , , , , , , , ,285,70,285,58, , , , ,188,72,188,77
100006, , , , , , , , , , , , ,389,56.6,607,69.18, , , , ,347,67.14, , , , , , ,389,44.06, , , , , , ,347,58.45, , , , , , , , , , ,652,48.93,652,42.59, , , , ,364,47.81,364,32.73
100007,1000,"Birmingham, AL",HOOVER CITY, ,HOOVER,AL35216, ,AL, , , , ,824,83.88,952,96.55, , , , ,754,80, , , , , , ,824,77.81, , , , , , ,754,80.88, , , , , , , , , , ,894,85.65,894,92.6, , , , ,860,92.67,860,92.25
100008,3440,"Huntsville, AL",MADISON CITY, ,MADISON,AL35758, ,AL, , , , ,531,84.03,554,94.9, , , , ,440,78, , , , , , ,531,83.32, , , , , , ,440,71, , , , , , , , , , ,520,91.61,520,91.31, , , , ,497,91,497,96
100009, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100010, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100011,1000,"Birmingham, AL",LEEDS CITY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100013,1000,"Birmingham, AL",TRUSSVILLE CITY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100018, , , , , , , , , , , , , , ,57,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100030, , , , , , , , , , , , ,281,51,288,69, , , , ,198,71, , , , , , ,281,59, , , , , , ,198,79, , , , , , , , , , ,287,48,287,70, , , , ,189,83,189,82
100060, , , , , , , , , , , , ,117,70,127,77, , , , ,103,62, , , , , , ,117,82, , , , , , ,103,80, , , , , , , , , , ,133,55,133,57, , , , ,127,77,127,74
100090,450,"Anniston, AL",ANNISTON CITY,ANNISTON CITY,ANNISTON,AL36202,CALHOUN,AL, , , , ,237,27.16,211,6, , , , ,118,31, , , , , , ,237,27.62, , , , , , ,118,28, , , , , , , , , , ,198,16,198,30, , , , ,121,24,121,9
